Class,Method,Inferred Type,Original Type,Source Code,Comments
Ronin::Campaign,target!,([ dump: () -> XXX ]) -> XXX,(String) -> Target,"def target!(addr)
      unless (address = Address.first(:address => addr))
        raise(""unknown address #{addr.dump}"")
      end

      return Target.first_or_create(:campaign => self, :address => address)
    end"
Ronin::Credential,user,() -> nil,() -> String,"def user
      self.user_name.name if self.user_name
    end"
Ronin::Credential,clear_text,() -> nil,() -> String,"def clear_text
      self.password.clear_text if self.password
    end"
Ronin::Credential,to_s,() -> String,() -> String,"def to_s
      ""#{self.user_name}:#{self.password}""
    end"
Ronin::EmailAddress,user,() -> nil,() -> String,"def user
      self.user_name.name if self.user_name
    end"
Ronin::EmailAddress,host,() -> nil,() -> String,"def host
      self.host_name.address if self.host_name
    end"
Ronin::EmailAddress,to_s,() -> String,() -> String,"def to_s
      ""#{self.user_name}@#{self.host_name}""
    end"
Ronin::EmailAddress,inspect,() -> String,() -> String,"def inspect
      ""#<#{self.class}: #{self}>""
    end"
Ronin::HostName,lookup!,(?XXX) -> Array<XXX>,(String) -> Array<IPAddress>,"def lookup!(nameserver=nil)
      resolver = Resolv.resolver(nameserver)
      ips = begin
              resolver.getaddresses(self.address)
            rescue
              []
            end

      ips.map! do |addr|
        IPAddress.first_or_create(
          :address => addr,
          :host_names => [self]
        )
      end

      return ips
    end"
Ronin::HostName,recent_ip_address,() -> XXX,() -> IpAddress,"def recent_ip_address
      self.host_name_ip_addresses.all(
        :order => [:created_at.desc]
      ).ip_addresses.first
    end"
Ronin::HostName,last_scanned_at,() -> nil,() -> Time,"def last_scanned_at
      last_scanned_url = self.urls.first(
        :order => [:last_scanned_at.desc]
      )

      return last_scanned_url.last_scanned_at if last_scanned_url
    end"
Ronin::IPAddress,lookup!,(?XXX) -> Array<XXX>,(String) -> Array<HostName>,"def lookup!(nameserver=nil)
      resolver = Resolv.resolver(nameserver)
      hosts = begin
                resolver.getnames(self.address.to_s)
              rescue
                []
              end

      hosts.map! do |name|
        HostName.first_or_create(
          :address => name,
          :ip_addresses => [self]
        )
      end

      return hosts
    end"
Ronin::IPAddress,recent_mac_address,() -> XXX,() -> MacAddress,"def recent_mac_address
      self.ip_address_mac_addresses.all(
        :order => [:created_at.desc]
      ).mac_addresses.first
    end"
Ronin::IPAddress,recent_host_name,() -> XXX,() -> HostName,"def recent_host_name
      self.host_name_ip_addresses.all(
        :order => [:created_at.desc]
      ).host_names.first
    end"
Ronin::IPAddress,recent_os_guess,() -> XXX,() -> OS,"def recent_os_guess
      self.os_guesses.all(:order => [:created_at.desc]).oses.first
    end"
Ronin::IPAddress,last_scanned_at,() -> nil,() -> Time,"def last_scanned_at
      last_scanned_port = self.open_ports.first(
        :order => [:last_scanned_at.desc]
      )

      return last_scanned_port.last_scanned_at if last_scanned_port
    end"
Ronin::IPAddress,to_ip,() -> XXX,() -> IPAddr,"def to_ip
      self.address
    end"
Ronin::IPAddress,to_i,() -> Number,() -> Number,"def to_i
      self.address.to_i
    end"
Ronin::MACAddress,recent_ip_address,() -> XXX,() -> IpAddress,"def recent_ip_address
      self.ip_address_mac_addresses.all(
        :order => [:created_at.desc]
      ).ip_addresses.first
    end"
Ronin::MACAddress,to_i,() -> XXX,() -> Number,"def to_i
      self.address.split(':').inject(0) do |bits,char|
        bits = ((bits << 8) | char.hex)
      end
    end"
Ronin::OpenPort,address,() -> XXX,() -> String,"def address
      self.ip_address.address
    end"
Ronin::OpenPort,number,() -> XXX,() -> Number,"def number
      self.port.number
    end"
Ronin::OpenPort,to_i,() -> Number,() -> Number,"def to_i
      self.port.to_i
    end"
Ronin::OpenPort,to_s,() -> String,() -> String,"def to_s
      if self.service then ""#{self.port} (#{self.service})""
      else                 ""#{self.port}""
      end
    end"
Ronin::OS,recent_ip_address,() -> nil,() -> IPAddress,"def recent_ip_address
      relation = self.os_guesses.first(:order => [:created_at.desc])

      if relation
        return relation.ip_address
      end
    end"
Ronin::OS,to_s,() -> String,() -> String,"def to_s
      if self.version then ""#{self.name} #{self.version}""
      else                 super
      end
    end"
Ronin::Password,digest,"([ to_s: () -> String ], ?([ []: (:append_salt) -> XXX ] and [ []: (:prepend_salt) -> XXX ])) -> XXX","((String or Symbol), Hash) -> String","def digest(algorithm,options={})
      digest_class = begin
                       Digest.const_get(algorithm.to_s.upcase)
                     rescue LoadError
                       raise(ArgumentError,""Unknown Digest algorithm #{algorithm}"")
                     end

      hash = RDL.type_cast(digest_class, ""Class"").new

      if options[:prepend_salt]
        hash << options[:prepend_salt].to_s
      end

      hash << self.clear_text

      if options[:append_salt]
        hash << options[:append_salt].to_s
      end

      return hash.hexdigest
    end"
Ronin::Password,count,() -> XXX,() -> Number,"def count
      self.credentials.count
    end"
Ronin::Password,to_s,() -> XXX,() -> String,"def to_s
      self.clear_text
    end"
Ronin::Password,inspect,() -> String,() -> String,"def inspect
      ""#<#{self.class}: #{self.clear_text}>""
    end"
Ronin::Port,to_i,() -> Number,() -> Number,"def to_i
      self.number.to_i
    end"
Ronin::Port,to_s,() -> String,() -> String,"def to_s
      ""#{self.number}/#{self.protocol}""
    end"
Ronin::Port,inspect,() -> String,() -> String,"def inspect
      ""#<#{self.class}: #{self}>""
    end"
Ronin::Repository,local?,() -> (false or true),() -> (false or true),"def local?
      self.domain == LOCAL_DOMAIN
    end"
Ronin::Repository,remote?,() -> XXX,() -> (false or true),"def remote?
      self.domain != LOCAL_DOMAIN
    end"
Ronin::Repository,executables,() -> Array<String>,() -> Array<String>,"def executables
      scripts = []

      if @bin_dir.directory?
        @bin_dir.entries.each do |path|
          scripts << path.basename.to_s if path.file?
        end
      end

      return scripts
    end"
Ronin::Repository,each_script,() { XXX } -> Enumerator<%any>,() -> Enumerator,"def each_script(&block)
      return enum_for(__method__) unless block

      @script_dirs.each do |dir|
        Pathname.glob(dir.join('**','*.rb'),&block)
      end
    end"
Ronin::Repository,activated?,() -> (false or true),() -> (false or true),"def activated?
      @activated == true
    end"
Ronin::Repository,deactivate!,() -> (false or true),() -> %bot,"def deactivate!
      unregister_data_paths

      $LOAD_PATH.delete(@lib_dir.to_s)

      @activated = false
      return true
    end"
Ronin::Repository,find_script,((Array<String> or File or [ to_str: () -> String ])) -> XXX,(String) -> Script::Path,"def find_script(sub_path)
      paths = @script_dirs.map { |dir| File.join(dir,sub_path) }

      return script_paths.first(:path => paths)
    end"
Ronin::Repository,cache_scripts!,() -> Ronin::Repository,() -> Repository,"def cache_scripts!
      clean_scripts!

      each_script do |path|
        self.script_paths.new(:path => path).cache
      end

      return self
    end"
Ronin::Repository,sync_scripts!,() -> Ronin::Repository,() -> Repository,"def sync_scripts!
      # activates the repository before caching it's objects
      activate!

      new_paths = each_script.to_a

      self.script_paths.each do |script_path|
        # filter out pre-existing paths within the `cached/` directory
        new_paths.delete(script_path.path)

        # sync the cached file and catch any exceptions
        script_path.sync
      end

      # cache the new paths within the `cache/` directory
      new_paths.each do |path|
        self.script_paths.new(:path => path).cache
      end

      # deactivates the repository
      deactivate!
      return self
    end"
Ronin::Repository,clean_scripts!,() -> Ronin::Repository,() -> Repository,"def clean_scripts!
      self.script_paths.destroy
      self.script_paths.clear
      return self
    end"
Ronin::Repository,update!,() { (Ronin::Repository) -> XXX } -> Ronin::Repository,() -> Repository,"def update!
      local_repo = Pullr::LocalRepository.new(
        :path => self.path,
        :scm  => self.scm
      )

      # only update if we have a repository
      local_repo.update(self.uri)

      # re-initialize the metadata
      initialize_metadata

      # save the repository
      if save
        # syncs the cached files of the repository
        sync_scripts!
      end

      yield self if block_given?
      return self
    end"
Ronin::Repository,uninstall!,() { (Ronin::Repository) -> XXX } -> Ronin::Repository,() -> Repository,"def uninstall!
      deactivate!

      FileUtils.rm_rf(self.path) if self.installed?

      # destroy any cached files first
      clean_scripts!

      # remove the repository from the database
      destroy if saved?

      yield self if block_given?
      return self
    end"
Ronin::Repository,to_s,() -> String,() -> String,"def to_s
      ""#{self.name}/#{self.domain}""
    end"
Ronin::Repository,initialize_metadata,() -> Ronin::Repository,() -> %bot,"def initialize_metadata
      metadata_path = self.path.join(METADATA_FILE)

      self.title       = self.name
      self.description = nil
      self.license     = nil

      self.source  = self.uri
      self.website = self.source
      self.authors.clear

      if File.file?(metadata_path)
        metadata = RDL.type_cast(YAML.load_file(metadata_path), ""Hash<String, String>"")

        if (title = metadata['title'])
          self.title = title
        end

        if (description = metadata['description'])
          self.description = description
        end

        if (license = metadata['license'])
          self.license = License.first_or_predefined(:name => license)
        end

        if (uri = metadata['uri'])
          self.uri ||= uri
        end

        if (source = metadata['source'])
          self.source = source
        end

        if (website = metadata['website'])
          self.website = website
        end

        case metadata['authors']
        when Hash
          RDL.type_cast(metadata['authors'], ""Hash<String, String>"").each do |name,email|
            self.authors << Author.first_or_new(:name => name, :email => email)
          end
        when Array
          RDL.type_cast(metadata['authors'], ""Array<String>"").each do |name|
            self.authors << Author.first_or_new(:name => name)
          end
        end
      end

      return self
    end"
Ronin::Software,to_s,() -> String,() -> String,"def to_s
      [self.vendor, self.name, self.version].compact.join(' ')
    end"
Ronin::Target,to_s,() -> String,() -> String,"def to_s
      self.address.to_s
    end"
Ronin::URL,host,() -> XXX,() -> String,"def host
      self.host_name.address
    end"
Ronin::URL,port_number,() -> nil,() -> Number,"def port_number
      self.port.number if self.port
    end"
Ronin::URL,query_string,() -> XXX,() -> String,"def query_string
      params = {}

      self.query_params.each do |param|
        params[param.name] = param.value
      end

      return ::URI::QueryParams.dump(params)
    end"
Ronin::URL,query_string=,(XXX) -> XXX,(String) -> String,"def query_string=(query)
      self.query_params.clear

      ::URI::QueryParams.parse(query).each do |name,value|
        self.query_params.new(
          :name  => URLQueryParamName.first_or_new(:name => name),
          :value => value
        )
      end

      return query
    end"
Ronin::URL,to_uri,() -> XXX,() -> URI::HTTP,"def to_uri
      # map the URL scheme to a URI class
      url_class = SCHEMES.fetch(self.scheme.name,::URI::Generic)

      host = if self.host_name
               self.host_name.address
             end
      port = if self.port
               self.port.number
             end

      query = unless self.query_params.empty?
                self.query_string
              end

      # build the URI
      return url_class.build(
        :scheme   => self.scheme.name,
        :host     => host,
        :port     => port,
        :path     => self.path,
        :query    => query,
        :fragment => self.fragment
      )
    end"
Ronin::URL,to_s,() -> String,() -> String,"def to_s
      self.to_uri.to_s
    end"
Ronin::URL,inspect,() -> String,() -> String,"def inspect
      ""#<#{self.class}: #{self}>""
    end"
Ronin::URLQueryParam,to_s,() -> XXX,() -> String,"def to_s
      URI::QueryParams.dump(self.name.to_s => self.value)
    end"
Ronin::URLQueryParam,inspect,() -> String,() -> String,"def inspect
      ""#<#{self.class}: #{self}>""
    end"
Ronin::URLQueryParamName,created_at,() -> nil,() -> Time,"def created_at
      if (url = self.query_params.urls.first(:fields => [:created_at]))
        url.created_at
      end
    end"
Ronin::URLQueryParamName,to_s,() -> String,() -> String,"def to_s
      self.name.to_s
    end"
Ronin::URLQueryParamName,inspect,() -> String,() -> String,"def inspect
      ""#<#{self.class}: #{self}>""
    end"
Ronin::WebCredential,to_s,() -> String,() -> String,"def to_s
      if self.email_address then ""#{super} (#{self.email_address})""
      else                       super
      end
    end"
Ronin::Model::HasAuthors::ClassMethods,written_by,(XXX) -> XXX,(String) -> Array<Model>,"def written_by(name)
          all('authors.name.like' => ""%#{name}%"")
        end"
Ronin::Model::HasAuthors::ClassMethods,written_for,(XXX) -> XXX,(String) -> Array<Model>,"def written_for(name)
          all('authors.organization.like' => ""%#{name}%"")
        end"
Ronin::Model::HasDescription::ClassMethods,describing,(XXX) -> XXX,(String) -> Array<Model>,"def describing(fragment)
          all(:description.like => ""%#{fragment}%"")
        end"
Ronin::Model::HasLicense::ClassMethods,licensed_under,([ to_s: () -> String ]) -> XXX,([ to_s: () -> String ]) -> Array<Model>,"def licensed_under(license)
          conditions = case license
                       when License
                         {:license => license}
                       when Symbol
                         {:license => License.predefined_resource(license)}
                       else
                         {'license.name' => license.to_s}
                       end

          all(conditions)
        end"
Ronin::Model::HasLicense::InstanceMethods,licensed_under,(XXX) -> XXX,((String or Symbol)) -> License,"def licensed_under(name)
          self.license = Ronin::License.predefined_resource(name)
        end"
Ronin::Model::HasLicense::InstanceMethods,license!,(XXX) -> XXX,() -> %bot,"def license!(name)
          licensed_under(name)
        end"
Ronin::Model::HasName::InstanceMethods,to_s,() -> String,() -> String,"def to_s
          self.name.to_s
        end"
Ronin::Model::HasUniqueName::InstanceMethods,to_s,() -> String,() -> String,"def to_s
          self.name.to_s
        end"
Ronin::Model::HasUniqueName::InstanceMethods,inspect,() -> String,() -> String,"def inspect
          ""#<#{self.class}: #{self.name}>""
        end"
Ronin::Model::InstanceMethods,humanize_attributes,"(?[ []: (:exclude) -> XXX ]) { (([ []: (Range<Number>) -> XXX ] and [ to_s: () -> String ]), ([ empty?: () -> XXX ] and [ nil?: () -> XXX ] and [ respond_to?: (:empty?) -> XXX ])) -> XXX } -> Hash<XXX, XXX>","(Hash) -> Hash<String, String>","def humanize_attributes(options={})
        exclude = [:id, :type]

        if options[:exclude]
          exclude += options[:exclude]
        end

        formatter = lambda { |value|
          case value
          when Array
            RDL.type_cast(value.map(&formatter), ""Array<String>"").join(', ')
          when Symbol
            DataMapper::Inflector.humanize(value)
          else
            value.to_s
          end
        }

        formatted = {}

        self.attributes.each do |name,value|
          next if (value.nil? || (value.respond_to?(:empty?) && value.empty?))

          unless (exclude.include?(name) || value.nil?)
            name = name.to_s

            unless name[-3..-1] == '_id'
              name = DataMapper::Inflector.humanize(name)
              value = formatter.call(value)

              yield name, value if block_given?

              formatted[name] = value
            end
          end
        end

        return formatted
      end"
Ronin::Model::Types::Description,typecast,(([ nil?: () -> XXX ] and [ to_s: () -> String ])) -> String,(Object) -> String,"def typecast(value)
          return nil if value.nil?

          sanitized_lines = []

          value.to_s.each_line do |line|
            sanitized_lines << line.strip
          end

          return sanitized_lines.join(""\n"").strip
        end"
Ronin::Script::Buildable,built?,() -> (false or true),() -> (false or true),"def built?
        @built == true
      end"
Ronin::Script::Buildable,build_failed!,(String) -> XXX,() -> %bot,"def build_failed!(message)
        raise(BuildFailed,message)
      end"
Ronin::Script::Buildable,build,() -> Ronin::Script::Buildable,() -> Script,"def build(&block)
        @build_blocks << block
        return self
      end"
Ronin::Script::Deployable,deployed?,() -> (false or true),() -> (false or true),"def deployed?
        @deployed == true
      end"
Ronin::Script::Deployable,evacuated?,() -> (false or true),() -> (false or true),"def evacuated?
        @evacuated == true
      end"
Ronin::Script::Deployable,deploy_failed!,(String) -> XXX,() -> %bot,"def deploy_failed!(message)
        raise(DeployFailed,message)
      end"
Ronin::Script::Deployable,deploy,() -> Ronin::Script::Deployable,() -> Script,"def deploy(&block)
        @deploy_blocks << block
        return self
      end"
Ronin::Script::Deployable,evacuate,() -> Ronin::Script::Deployable,() -> Script,"def evacuate(&block)
        @evacuate_blocks.unshift(block)
        return self
      end"
Ronin::Script::Path,class_path,() -> nil,() -> String,"def class_path
        if self.class_name
          DataMapper::Inflector.underscore(self.class_name)
        end
      end"
Ronin::Script::Path,script_class,() -> XXX,() -> Class,"def script_class
        return unless self.class_name

        # filter out unloadable script classes
        begin
          require class_path
        rescue Gem::LoadError => e
          raise(e)
        rescue ::LoadError
        end

        # filter out missing class names
        loaded_class = begin
                         DataMapper::Ext::Object.full_const_get(self.class_name)
                       rescue NameError
                         return nil
                       end

        # filter out non-script classes
        return loaded_class if RDL.type_cast(loaded_class, ""Class"") < Script
      end"
Ronin::Script::Path,cached_script,() -> nil,() -> Model,"def cached_script
        if (cached_class = script_class)
          return cached_class.first(:script_path => self)
        end
      end"
Ronin::Script::Path,updated?,() -> (false or true),() -> (false or true),"def updated?
        # assume updates if there is no timestamp
        return true unless self.timestamp

        if File.file?(self.path)
          return self.path.mtime > self.timestamp
        end

        # do not assume updates, if there is no path
        return false
      end"
Ronin::Script::Path,missing?,() -> XXX,() -> (false or true),"def missing?
        !(self.path.file?)
      end"
Ronin::Script::Path,cache,() -> (false or true),() -> (false or true),"def cache
        if (new_script = load_script)
          # reset the model-class
          self.class_name = new_script.class.to_s

          # update the timestamp
          self.timestamp = self.path.mtime

          # re-cache the newly loaded script
          new_script.script_path = self

          if new_script.save
            @cache_errors = nil
            return true
          else
            @cache_errors = new_script.errors
          end
        end

        return false
      end"
Ronin::Script::Path,sync,() -> (false or true),() -> (false or true),"def sync
        if missing?
          # destroy the cached file, if the actual file is missing
          return destroy
        elsif updated?
          # clean the previously cached file
          clean

          # if we couldn't cache anything, self-destruct
          destroy unless cache
          return true
        end

        return false
      end"
Ronin::Script::Path,clean,() -> nil,() -> %bot,"def clean
        if (script = cached_script)
          # destroy the previously cached object
          script.destroy!
        end
      end"
Ronin::Script::Path,to_s,() -> String,() -> String,"def to_s
        self.path.to_s
      end"
Ronin::Script::ClassMethods,short_name,() -> String,() -> String,"def short_name
        @short_name ||= RDL.type_cast(self.name, ""String"").split('::').last
      end"
Ronin::Script::ClassMethods,load_from,(XXX) -> XXX,(String) -> Script,"def load_from(path)
        load_object(path)
      end"
Ronin::Script::ClassMethods,load_all,(?XXX) -> Array<Ronin::Script::InstanceMethods>,(Hash) -> %bot,"def load_all(attributes={})
        resources = RDL.type_cast(all(attributes), ""Array<Ronin::Script::InstanceMethods>"")
        resources.each { |resource| resource.load_script! }

        return resources
      end"
Ronin::Script::ClassMethods,load_first,(?XXX) -> XXX,(Hash) -> Cacheable,"def load_first(attributes={})
        if (resource = first(attributes))
          RDL.type_cast(resource, ""Ronin::Script::InstanceMethods"").load_script!
        end

        return resource
      end"
Ronin::Script::InstanceMethods,script_loaded?,() -> (false or true),() -> (false or true),"def script_loaded?
        @script_loaded == true
      end"
Ronin::Script::InstanceMethods,prepared_for_cache?,() -> (false or true),() -> (false or true),"def prepared_for_cache?
        @cache_prepared == true
      end"
Ronin::Script::InstanceMethods,cached?,() -> XXX,() -> (false or true),"def cached?
        (saved? && self.script_path)
      end"
Ronin::Script::InstanceMethods,run,(*XXX) -> nil,(Array) -> %bot,"def run(*arguments)
      end"
Ronin::Script::InstanceMethods,inspect,() -> String,() -> String,"def inspect
        body = []

        RDL.type_cast(self.attributes, ""Hash<String, String>"").each do |name,value|
          body << ""#{name}: #{value.inspect}""
        end

        param_pairs = []

        RDL.type_cast(self.params, ""Hash<String, Ronin::URLQueryParam>"").each do |name,param|
          param_pairs << ""#{name}: #{param.value.inspect}""
        end

        body << ""params: {#{param_pairs.join(', ')}}""

        return ""#<#{self.class}: #{body.join(', ')}>""
      end"
Ronin::Script::InstanceMethods,cache,() { () -> XXX } -> (false or true),() -> (false or true),"def cache
        if (block_given? && !(cached? || prepared_for_cache?))
          @cache_prepared = true

          yield
          return true
        end

        return false
      end"
Ronin::Script::Testable,test!,() -> (false or true),() -> (false or true),"def test!
        print_info ""Testing #{RDL.type_cast(self.class, ""Ronin::Script::ClassMethods"").short_name} ...""

        @test_blocks.each { |block| block.call() }

        print_info ""#{RDL.type_cast(self.class, ""Ronin::Script::ClassMethods"").short_name} tested!""
        return true
      end"
Ronin::Script::Testable,flunk,(String) -> XXX,(String) -> %bot,"def flunk(message)
        raise(TestFailed,message)
      end"
Ronin::Script::Testable,test,() -> Ronin::Script::Testable,() -> Script,"def test(&block)
        @test_blocks << block
        return self
      end"
Ronin::Script::Testable,test?,(String) { XXX } -> Ronin::Script::Testable,(String) -> (false or true),"def test?(message,&block)
        test { flunk(message) unless block.call() }
      end"
Ronin::Script::Testable,test_equal,"((String or Symbol), [ inspect: () -> XXX ], ?String) -> Ronin::Script::Testable","(Symbol, Object, String) -> (false or true)","def test_equal(name,expected_value,message=nil)
        name = name.to_sym

        test do
          actual_value = RDL.type_cast(self.send(name), ""Object"")
          message ||= ""#{name} (#{actual_value.inspect}) must equal #{expected_value.inspect}""

          flunk(message) unless actual_value == expected_value
        end
      end"
Ronin::Script::Testable,test_not_equal,"((String or Symbol), [ inspect: () -> XXX ], ?String) -> Ronin::Script::Testable","(Symbol, Object, String) -> (false or true)","def test_not_equal(name,unexpected_value,message=nil)
        name = name.to_sym

        test do
          actual_value = RDL.type_cast(self.send(name), ""Object"")
          message ||= ""#{name} (#{actual_value.inspect}) cannot equal #{unexpected_value.inspect}""

          flunk(message) unless actual_value != unexpected_value
        end
      end"
Ronin::Script::Testable,test_set,"((String or Symbol), ?String) -> Ronin::Script::Testable","(Symbol, String) -> (false or true)","def test_set(name,message=nil)
        name = name.to_sym

        test do
          actual_value = RDL.type_cast(self.send(name), ""Object"")
          message ||= ""#{name} is not set""

          blank = if actual_value.respond_to?(:empty?)
                    actual_value.empty?
                  else
                    actual_value.nil?
                  end

          flunk(message) if blank
        end
      end"
Ronin::Script::Testable,test_match,"((String or Symbol), (Regexp or String), ?String) -> Ronin::Script::Testable","(Symbol, (Regexp or String), String) -> (false or true)","def test_match(name,pattern,message=nil)
        name = name.to_sym

        test do
          actual_value = RDL.type_cast(self.send(name), ""String"")
          message ||= ""#{name} (#{actual_value.inspect}) must match #{pattern.inspect}""

          flunk(message) unless actual_value.match(pattern)
        end
      end"
Ronin::Script::Testable,test_no_match,"((String or Symbol), (Regexp or String), ?String) -> Ronin::Script::Testable","(Symbol, (Regexp or String), String) -> (false or true)","def test_no_match(name,pattern,message=nil)
        name = name.to_sym

        test do
          actual_value = RDL.type_cast(self.send(name), ""String"")
          message ||= ""#{name} (#{actual_value.inspect}) cannot match #{pattern.inspect}""

          flunk(message) unless !actual_value.match(pattern)
        end
      end"
Ronin::Script::Testable,test_in,"((String or Symbol), ([ include?: (String) -> XXX ] and [ inspect: () -> XXX ]), ?String) -> Ronin::Script::Testable","(Symbol, String) -> (false or true)","def test_in(name,expected_values,message=nil)
        name = name.to_sym

        test do
          actual_value = RDL.type_cast(self.send(name), ""String"")
          message ||= ""#{name} (#{actual_value.inspect}) must be one of #{expected_values.inspect}""

          flunk(message) unless expected_values.include?(actual_value)
        end
      end"
Ronin::Script::Testable,test_not_in,"((String or Symbol), ([ include?: (String) -> XXX ] and [ inspect: () -> XXX ]), ?String) -> Ronin::Script::Testable","(Symbol, String) -> (false or true)","def test_not_in(name,unexpected_values,message=nil)
        name = name.to_sym

        test do
          actual_value = RDL.type_cast(self.send(name), ""String"")
          message ||= ""#{name} (#{actual_value.inspect}) cannot be one of #{unexpected_values.inspect}""

          flunk(message) unless !unexpected_values.include?(actual_value)
        end
      end"
Ronin::UI::CLI::ClassCommand,option_parser,() { (XXX) -> XXX } -> OptionParser,() -> OptionParser,"def option_parser
          super do |opts|
            @object.each_param do |param|
              Parameters::Options.define(opts,param)
            end

            yield opts if block_given?
          end
        end"
Ronin::UI::CLI::Command,initialize,(?XXX) -> self,"(Hash<Symbol, Object>) -> self","def initialize(options={})
          super()

          initialize_params(options)
        end"
